Namespace(batch_size=64, beta1=0.5, cuda=False, data_path='../data/', dataset='cifar10', direction='b2a', epoch_count=1, input_nc=3, lamb=10, lr=0.0002, lr_decay_iters=50, lr_policy='lambda', ndf=8, ngf=8, niter=100, niter_decay=100, output_nc=3, result_path='../results/', seed=123, test_batch_size=1, threads=4)
===> Loading datasets
===> Building models
initialize network with normal
Load existing models
===> Epoch[1](292/390): Loss_G: 0.0944
===> Epoch[1](293/390): Loss_G: 0.1050
===> Epoch[1](294/390): Loss_G: 0.0788
===> Epoch[1](295/390): Loss_G: 0.1043
===> Epoch[1](296/390): Loss_G: 0.1084
===> Epoch[1](297/390): Loss_G: 0.1005
===> Epoch[1](298/390): Loss_G: 0.0841
===> Epoch[1](299/390): Loss_G: 0.0923
===> Epoch[1](300/390): Loss_G: 0.1009
===> Epoch[1](301/390): Loss_G: 0.0944
===> Epoch[1](302/390): Loss_G: 0.0912
===> Epoch[1](303/390): Loss_G: 0.0790
===> Epoch[1](304/390): Loss_G: 0.1042
===> Epoch[1](305/390): Loss_G: 0.1094
===> Epoch[1](306/390): Loss_G: 0.0882
===> Epoch[1](307/390): Loss_G: 0.0807
===> Epoch[1](308/390): Loss_G: 0.0989
===> Epoch[1](309/390): Loss_G: 0.1111
===> Epoch[1](310/390): Loss_G: 0.1077
===> Epoch[1](311/390): Loss_G: 0.0923
===> Epoch[1](312/390): Loss_G: 0.1168
===> Epoch[1](313/390): Loss_G: 0.1092
===> Epoch[1](314/390): Loss_G: 0.0986
===> Epoch[1](315/390): Loss_G: 0.0888
===> Epoch[1](316/390): Loss_G: 0.1164
===> Epoch[1](317/390): Loss_G: 0.1150
===> Epoch[1](318/390): Loss_G: 0.0985
===> Epoch[1](319/390): Loss_G: 0.1112
===> Epoch[1](320/390): Loss_G: 0.0880
===> Epoch[1](321/390): Loss_G: 0.0959
===> Epoch[1](322/390): Loss_G: 0.0969
===> Epoch[1](323/390): Loss_G: 0.0894
===> Epoch[1](324/390): Loss_G: 0.0821
===> Epoch[1](325/390): Loss_G: 0.0967
===> Epoch[1](326/390): Loss_G: 0.1155
===> Epoch[1](327/390): Loss_G: 0.0816
===> Epoch[1](328/390): Loss_G: 0.0794
===> Epoch[1](329/390): Loss_G: 0.0902
===> Epoch[1](330/390): Loss_G: 0.0734
===> Epoch[1](331/390): Loss_G: 0.1073
===> Epoch[1](332/390): Loss_G: 0.1013
===> Epoch[1](333/390): Loss_G: 0.0910
===> Epoch[1](334/390): Loss_G: 0.1078
===> Epoch[1](335/390): Loss_G: 0.0868
===> Epoch[1](336/390): Loss_G: 0.0843
===> Epoch[1](337/390): Loss_G: 0.0886
===> Epoch[1](338/390): Loss_G: 0.0876
===> Epoch[1](339/390): Loss_G: 0.1096
===> Epoch[1](340/390): Loss_G: 0.0894
===> Epoch[1](341/390): Loss_G: 0.1217
===> Epoch[1](342/390): Loss_G: 0.1195
===> Epoch[1](343/390): Loss_G: 0.1160
===> Epoch[1](344/390): Loss_G: 0.1015
===> Epoch[1](345/390): Loss_G: 0.1036
===> Epoch[1](346/390): Loss_G: 0.0904
===> Epoch[1](347/390): Loss_G: 0.0854
===> Epoch[1](348/390): Loss_G: 0.0850
===> Epoch[1](349/390): Loss_G: 0.0891
===> Epoch[1](350/390): Loss_G: 0.1134
===> Epoch[1](351/390): Loss_G: 0.0972
===> Epoch[1](352/390): Loss_G: 0.1040
===> Epoch[1](353/390): Loss_G: 0.0817
===> Epoch[1](354/390): Loss_G: 0.0744
===> Epoch[1](355/390): Loss_G: 0.0891
===> Epoch[1](356/390): Loss_G: 0.1104
===> Epoch[1](357/390): Loss_G: 0.0806
===> Epoch[1](358/390): Loss_G: 0.1058
===> Epoch[1](359/390): Loss_G: 0.0945
===> Epoch[1](360/390): Loss_G: 0.0836
===> Epoch[1](361/390): Loss_G: 0.0804
===> Epoch[1](362/390): Loss_G: 0.1032
===> Epoch[1](363/390): Loss_G: 0.1044
===> Epoch[1](364/390): Loss_G: 0.1046
===> Epoch[1](365/390): Loss_G: 0.1026
===> Epoch[1](366/390): Loss_G: 0.0944
===> Epoch[1](367/390): Loss_G: 0.1051
===> Epoch[1](368/390): Loss_G: 0.1020
===> Epoch[1](369/390): Loss_G: 0.0951
===> Epoch[1](370/390): Loss_G: 0.0737
===> Epoch[1](371/390): Loss_G: 0.1075
===> Epoch[1](372/390): Loss_G: 0.1056
===> Epoch[1](373/390): Loss_G: 0.0950
===> Epoch[1](374/390): Loss_G: 0.1032
===> Epoch[1](375/390): Loss_G: 0.0931
===> Epoch[1](376/390): Loss_G: 0.1006
===> Epoch[1](377/390): Loss_G: 0.0861
===> Epoch[1](378/390): Loss_G: 0.0803
===> Epoch[1](379/390): Loss_G: 0.1115
===> Epoch[1](380/390): Loss_G: 0.1038
===> Epoch[1](381/390): Loss_G: 0.0894
===> Epoch[1](382/390): Loss_G: 0.0941
===> Epoch[1](383/390): Loss_G: 0.0949
===> Epoch[1](384/390): Loss_G: 0.1029
===> Epoch[1](385/390): Loss_G: 0.0859
===> Epoch[1](386/390): Loss_G: 0.0995
===> Epoch[1](387/390): Loss_G: 0.1048
===> Epoch[1](388/390): Loss_G: 0.0872
===> Epoch[1](389/390): Loss_G: 0.0823
===> Epoch[1](390/390): Loss_G: 0.0966
learning rate = 0.0002000
Checkpoint saved to checkpointcifar10
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type ResnetGenerator. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type Inconv. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type Sequential. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type ReflectionPad2d. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
/home/tuandinh/anaconda3/envs/py36/lib/python3.7/site-packages/torch/serialization.py:292: UserWarning: Couldn't retrieve source code for container of type Conv2d. It won't be checked for correctness upon loading.
  "type " + obj.__name__ + ". It won't be checked "
