{'target': {'mean': array([0.6559602], dtype=float32), 'std': array([2.6216261], dtype=float32), 'min': array([-11.30689], dtype=float32), 'max': array([22.927853], dtype=float32)}, 'input': {'mean': array([-0.3984012], dtype=float32), 'std': array([0.27414447], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
../results/fusion/checkpoints/mnist_vanilla_4.pth
===> Epoch[16](150/704): MSE-pixel: 0.0348
===> Epoch[16](180/704): MSE-pixel: 0.0356
===> Epoch[16](210/704): MSE-pixel: 0.0380
===> Epoch[16](240/704): MSE-pixel: 0.0334
===> Epoch[16](270/704): MSE-pixel: 0.0353
===> Epoch[16](300/704): MSE-pixel: 0.0357
===> Epoch[16](330/704): MSE-pixel: 0.0330
===> Epoch[16](360/704): MSE-pixel: 0.0347
===> Epoch[16](390/704): MSE-pixel: 0.0366
===> Epoch[16](420/704): MSE-pixel: 0.0350
===> Epoch[16](450/704): MSE-pixel: 0.0367
===> Epoch[16](480/704): MSE-pixel: 0.0351
===> Epoch[16](510/704): MSE-pixel: 0.0345
===> Epoch[16](540/704): MSE-pixel: 0.0380
===> Epoch[16](570/704): MSE-pixel: 0.0400
===> Epoch[16](600/704): MSE-pixel: 0.0356
===> Epoch[16](630/704): MSE-pixel: 0.0365
===> Epoch[16](660/704): MSE-pixel: 0.0377
===> Epoch[16](690/704): MSE-pixel: 0.0389
learning rate = 0.0010000
===> Epoch[17](0/704): MSE-pixel: 0.0378
===> Epoch[17](30/704): MSE-pixel: 0.0343
===> Epoch[17](60/704): MSE-pixel: 0.0362
===> Epoch[17](90/704): MSE-pixel: 0.0337
===> Epoch[17](120/704): MSE-pixel: 0.0375
===> Epoch[17](150/704): MSE-pixel: 0.0340
===> Epoch[17](180/704): MSE-pixel: 0.0346
===> Epoch[17](210/704): MSE-pixel: 0.0370
===> Epoch[17](240/704): MSE-pixel: 0.0340
===> Epoch[17](270/704): MSE-pixel: 0.0352
===> Epoch[17](300/704): MSE-pixel: 0.0355
===> Epoch[17](330/704): MSE-pixel: 0.0355
===> Epoch[17](360/704): MSE-pixel: 0.0357
===> Epoch[17](390/704): MSE-pixel: 0.0339
===> Epoch[17](420/704): MSE-pixel: 0.0378
===> Epoch[17](450/704): MSE-pixel: 0.0358
===> Epoch[17](480/704): MSE-pixel: 0.0345
===> Epoch[17](510/704): MSE-pixel: 0.0357
===> Epoch[17](540/704): MSE-pixel: 0.0360
===> Epoch[17](570/704): MSE-pixel: 0.0364
===> Epoch[17](600/704): MSE-pixel: 0.0352
===> Epoch[17](630/704): MSE-pixel: 0.0361
===> Epoch[17](660/704): MSE-pixel: 0.0372
===> Epoch[17](690/704): MSE-pixel: 0.0353
learning rate = 0.0010000
===> Epoch[18](0/704): MSE-pixel: 0.0353
===> Epoch[18](30/704): MSE-pixel: 0.0353
===> Epoch[18](60/704): MSE-pixel: 0.0338
===> Epoch[18](90/704): MSE-pixel: 0.0350
===> Epoch[18](120/704): MSE-pixel: 0.0346
===> Epoch[18](150/704): MSE-pixel: 0.0351
===> Epoch[18](180/704): MSE-pixel: 0.0367
===> Epoch[18](210/704): MSE-pixel: 0.0334
===> Epoch[18](240/704): MSE-pixel: 0.0342
===> Epoch[18](270/704): MSE-pixel: 0.0364
===> Epoch[18](300/704): MSE-pixel: 0.0348
===> Epoch[18](330/704): MSE-pixel: 0.0351
===> Epoch[18](360/704): MSE-pixel: 0.0371
===> Epoch[18](390/704): MSE-pixel: 0.0346
===> Epoch[18](420/704): MSE-pixel: 0.0356
===> Epoch[18](450/704): MSE-pixel: 0.0340
===> Epoch[18](480/704): MSE-pixel: 0.0384
===> Epoch[18](510/704): MSE-pixel: 0.0352
===> Epoch[18](540/704): MSE-pixel: 0.0347
===> Epoch[18](570/704): MSE-pixel: 0.0360
===> Epoch[18](600/704): MSE-pixel: 0.0350
===> Epoch[18](630/704): MSE-pixel: 0.0376
===> Epoch[18](660/704): MSE-pixel: 0.0362
===> Epoch[18](690/704): MSE-pixel: 0.0369
learning rate = 0.0010000
===> Epoch[19](0/704): MSE-pixel: 0.0353
===> Epoch[19](30/704): MSE-pixel: 0.0374
===> Epoch[19](60/704): MSE-pixel: 0.0357
===> Epoch[19](90/704): MSE-pixel: 0.0349
===> Epoch[19](120/704): MSE-pixel: 0.0319
===> Epoch[19](150/704): MSE-pixel: 0.0338
===> Epoch[19](180/704): MSE-pixel: 0.0362
===> Epoch[19](210/704): MSE-pixel: 0.0348
===> Epoch[19](240/704): MSE-pixel: 0.0334
===> Epoch[19](270/704): MSE-pixel: 0.0351
===> Epoch[19](300/704): MSE-pixel: 0.0346
===> Epoch[19](330/704): MSE-pixel: 0.0338
===> Epoch[19](360/704): MSE-pixel: 0.0352
===> Epoch[19](390/704): MSE-pixel: 0.0351
===> Epoch[19](420/704): MSE-pixel: 0.0363
===> Epoch[19](450/704): MSE-pixel: 0.0355
===> Epoch[19](480/704): MSE-pixel: 0.0356
===> Epoch[19](510/704): MSE-pixel: 0.0354
===> Epoch[19](540/704): MSE-pixel: 0.0355
===> Epoch[19](570/704): MSE-pixel: 0.0376
===> Epoch[19](600/704): MSE-pixel: 0.0365
===> Epoch[19](630/704): MSE-pixel: 0.0345
===> Epoch[19](660/704): MSE-pixel: 0.0360
===> Epoch[19](690/704): MSE-pixel: 0.0365
learning rate = 0.0010000
===> Epoch[20](0/704): MSE-pixel: 0.0351
===> Epoch[20](30/704): MSE-pixel: 0.0353
===> Epoch[20](60/704): MSE-pixel: 0.0342
===> Epoch[20](90/704): MSE-pixel: 0.0349
===> Epoch[20](120/704): MSE-pixel: 0.0349
===> Epoch[20](150/704): MSE-pixel: 0.0336
===> Epoch[20](180/704): MSE-pixel: 0.0333
===> Epoch[20](210/704): MSE-pixel: 0.0318
===> Epoch[20](240/704): MSE-pixel: 0.0336
===> Epoch[20](270/704): MSE-pixel: 0.0338
===> Epoch[20](300/704): MSE-pixel: 0.0370
===> Epoch[20](330/704): MSE-pixel: 0.0339
===> Epoch[20](360/704): MSE-pixel: 0.0337
===> Epoch[20](390/704): MSE-pixel: 0.0338
===> Epoch[20](420/704): MSE-pixel: 0.0359
===> Epoch[20](450/704): MSE-pixel: 0.0341
===> Epoch[20](480/704): MSE-pixel: 0.0352
===> Epoch[20](510/704): MSE-pixel: 0.0352
===> Epoch[20](540/704): MSE-pixel: 0.0371
===> Epoch[20](570/704): MSE-pixel: 0.0348
===> Epoch[20](600/704): MSE-pixel: 0.0344
===> Epoch[20](630/704): MSE-pixel: 0.0368
