{'target': {'mean': array([-0.5029429], dtype=float32), 'std': array([0.6241994], dtype=float32), 'min': array([-5.971551], dtype=float32), 'max': array([4.968335], dtype=float32)}, 'input': {'mean': array([-0.39840025], dtype=float32), 'std': array([0.2741448], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
===> Epoch[19](300/704): MSE-pixel: 0.3210
===> Epoch[19](330/704): MSE-pixel: 0.3189
===> Epoch[19](360/704): MSE-pixel: 0.3097
===> Epoch[19](390/704): MSE-pixel: 0.3308
===> Epoch[19](420/704): MSE-pixel: 0.3360
===> Epoch[19](450/704): MSE-pixel: 0.3218
===> Epoch[19](480/704): MSE-pixel: 0.3263
===> Epoch[19](510/704): MSE-pixel: 0.3136
===> Epoch[19](540/704): MSE-pixel: 0.3042
===> Epoch[19](570/704): MSE-pixel: 0.3332
===> Epoch[19](600/704): MSE-pixel: 0.3321
===> Epoch[19](630/704): MSE-pixel: 0.3080
===> Epoch[19](660/704): MSE-pixel: 0.3347
===> Epoch[19](690/704): MSE-pixel: 0.3083
learning rate = 0.0100000
===> Epoch[20](0/704): MSE-pixel: 0.3153
===> Epoch[20](30/704): MSE-pixel: 0.3209
===> Epoch[20](60/704): MSE-pixel: 0.3207
===> Epoch[20](90/704): MSE-pixel: 0.3210
===> Epoch[20](120/704): MSE-pixel: 0.3200
===> Epoch[20](150/704): MSE-pixel: 0.3265
===> Epoch[20](180/704): MSE-pixel: 0.3143
===> Epoch[20](210/704): MSE-pixel: 0.3001
===> Epoch[20](240/704): MSE-pixel: 0.3331
===> Epoch[20](270/704): MSE-pixel: 0.3153
===> Epoch[20](300/704): MSE-pixel: 0.3098
===> Epoch[20](330/704): MSE-pixel: 0.3210
===> Epoch[20](360/704): MSE-pixel: 0.3102
===> Epoch[20](390/704): MSE-pixel: 0.3329
===> Epoch[20](420/704): MSE-pixel: 0.3047
===> Epoch[20](450/704): MSE-pixel: 0.3203
===> Epoch[20](480/704): MSE-pixel: 0.3275
===> Epoch[20](510/704): MSE-pixel: 0.3254
===> Epoch[20](540/704): MSE-pixel: 0.3374
===> Epoch[20](570/704): MSE-pixel: 0.3191
===> Epoch[20](600/704): MSE-pixel: 0.3167
===> Epoch[20](630/704): MSE-pixel: 0.3096
===> Epoch[20](660/704): MSE-pixel: 0.3117
===> Epoch[20](690/704): MSE-pixel: 0.3174
learning rate = 0.0100000
===> Epoch[21](0/704): MSE-pixel: 0.3222
