{'target': {'mean': array([-0.4510391], dtype=float32), 'std': array([0.38355893], dtype=float32), 'min': array([-4.1388025], dtype=float32), 'max': array([3.3192787], dtype=float32)}, 'input': {'mean': array([-0.39840052], dtype=float32), 'std': array([0.27414468], dtype=float32), 'min': array([-0.5], dtype=float32), 'max': array([0.5], dtype=float32)}}
Dataset: 60000, 45000
initialize network with normal
===> Epoch[17](180/704): MSE-pixel: 0.1826
===> Epoch[17](210/704): MSE-pixel: 0.1803
===> Epoch[17](240/704): MSE-pixel: 0.1958
===> Epoch[17](270/704): MSE-pixel: 0.1898
===> Epoch[17](300/704): MSE-pixel: 0.1841
===> Epoch[17](330/704): MSE-pixel: 0.1812
===> Epoch[17](360/704): MSE-pixel: 0.2011
===> Epoch[17](390/704): MSE-pixel: 0.1899
===> Epoch[17](420/704): MSE-pixel: 0.2029
===> Epoch[17](450/704): MSE-pixel: 0.1880
===> Epoch[17](480/704): MSE-pixel: 0.1900
===> Epoch[17](510/704): MSE-pixel: 0.1947
===> Epoch[17](540/704): MSE-pixel: 0.1841
===> Epoch[17](570/704): MSE-pixel: 0.1897
===> Epoch[17](600/704): MSE-pixel: 0.1824
===> Epoch[17](630/704): MSE-pixel: 0.1973
===> Epoch[17](660/704): MSE-pixel: 0.1892
===> Epoch[17](690/704): MSE-pixel: 0.2122
learning rate = 0.0010000
===> Epoch[18](0/704): MSE-pixel: 0.1926
===> Epoch[18](30/704): MSE-pixel: 0.1884
===> Epoch[18](60/704): MSE-pixel: 0.1771
===> Epoch[18](90/704): MSE-pixel: 0.1778
===> Epoch[18](120/704): MSE-pixel: 0.1946
===> Epoch[18](150/704): MSE-pixel: 0.2001
===> Epoch[18](180/704): MSE-pixel: 0.1844
===> Epoch[18](210/704): MSE-pixel: 0.1835
===> Epoch[18](240/704): MSE-pixel: 0.1925
===> Epoch[18](270/704): MSE-pixel: 0.1842
===> Epoch[18](300/704): MSE-pixel: 0.1962
===> Epoch[18](330/704): MSE-pixel: 0.1787
===> Epoch[18](360/704): MSE-pixel: 0.2034
===> Epoch[18](390/704): MSE-pixel: 0.1874
===> Epoch[18](420/704): MSE-pixel: 0.1822
===> Epoch[18](450/704): MSE-pixel: 0.1968
===> Epoch[18](480/704): MSE-pixel: 0.1956
===> Epoch[18](510/704): MSE-pixel: 0.1974
===> Epoch[18](540/704): MSE-pixel: 0.2064
===> Epoch[18](570/704): MSE-pixel: 0.1838
===> Epoch[18](600/704): MSE-pixel: 0.1863
